number,Target,R_a/R_b,A_Tb,B_Hfus,Zb
1,-12.37,0.825,3520,80,1.81
2,-5.12,1.672240803,1484,306.03,1.547
3,-1.52,0.965793304,3047.6,132.022,1.728
4,-8.36,0.850583333,2954.5,80,1.81
5,-6.31,1.734693878,1879,68.92,1.69
6,-4.79,0.854774306,2915,106.89,1.76
7,-8.54,1.12398374,2423,147.59,1.594
8,-3.91,1.38989899,3464,317.49,1.355
9,-8.73,1.81748171,1382,354.4,1.47
10,-5.89,0.887333333,3305.5,80,1.81
11,-3.91,1.5625,1484,300.2,1.495
12,-2.26,0.947695035,2943.5,120.335,1.735
13,-2.1,0.941134752,3047.6,120.335,1.735
14,-8.11,1.779042457,2915,394.8,1.58
15,-8.04,1.847826087,1879,189.88,1.42
16,-7.29,1.326699834,1484,241.7,1.6075
17,-7.21,1.827956989,1879,169.72,1.465
18,0.04,0.990298507,3047.6,122.06,1.83
19,-4.14,1.633986928,1484,296.52,1.531
20,-3.85,0.837329932,2915,93.445,1.785
21,-7.71,1.874205607,2904.8,399.9,1.61
22,-2.15,0.928014184,3255.8,120.335,1.735
23,-1.57,0.974727419,3047.6,127.286,1.75845
24,-4.96,1.891237579,3255.8,394.8,1.58
25,-6.52,1.637073982,2915,367.91,1.63
26,-5.3,1.63733115,1484,298.265,1.5285
27,-5.48,0.820583333,2915,80,1.81
28,-3.62,0.841836735,3520,93.445,1.785
29,-1.93,0.963120889,3047.6,133.016,1.7157
30,-4.61,1.047348485,2423,125.06,1.666
31,-2.03,0.934574468,3151.7,120.335,1.735
32,-1.43,0.971449488,3047.6,129.678,1.752
33,-6.01,1.956635514,3255.8,399.9,1.61
34,-10.27,1.800152555,1382,338.35,1.471
35,-8.57,1.772637264,2915,370.72,1.614
36,-7.25,1.950413223,1382,295.6,1.54
37,-4.67,1.3085,3255.8,28.6,1.78
38,-6.31,0.857333333,3266,80,1.81
39,-1.24,0.985015078,3047.6,122.32,1.7955
40,-2.07,0.969259259,3255.8,147.225,1.685
41,-4.14,1.852336449,3316.4,399.9,1.61
42,-7.94,1.791951405,1382,351.85,1.455
43,-14,1.888888889,1879,230.2,1.33
44,-7.92,1.779042457,2915,382.93,1.582
45,-3.85,0.902413793,3255.8,74.86,1.807
46,-4.93,1.071705426,2423,132.57,1.642
47,-10.82,1.647102804,1224.8,399.9,1.61
48,-4.93,1.024074074,2423,117.55,1.69
49,-3.13,0.952028986,3038.08,133.78,1.71
50,-5.07,1.798504673,1763,399.9,1.61
51,-6.29,0.835583333,2904.8,80,1.81
52,-1.31,0.975735294,3047.6,127.92,1.77
53,-2.06,0.921527778,3047.6,106.89,1.76
54,-5.64,1.770833333,1879,109.24,1.6
55,-6.68,1.700934579,3158.9,399.9,1.61
56,-1.24,1.053228963,2839.4,140.35,1.764
57,-3.96,1.40983165,3255.8,317.49,1.355
58,-5.99,1.759813084,3094.1,399.9,1.61
59,-2.51,0.896428571,3151.7,93.445,1.785
60,-8.73,1.767128416,1382,349.3,1.44
61,-4.93,1.135100865,2915,239.95,1.71
62,-3.47,1.804785047,1738.2,399.9,1.61
63,-8.98,1.9,1481.4,356.95,1.485
64,-4.44,0.923511248,3255.8,111.99,1.79
65,-8.84,1.814686659,1382,342.36,1.487
66,-3.82,1.615508885,1484,297.44,1.522
67,-3.49,0.853298611,3074,106.89,1.76
68,-3.86,1.802429907,1747.5,399.9,1.61
69,-6.86,1.763061074,1431.7,343.26,1.43
70,-5.95,1.38121547,1484,252.48,1.594
71,-2.67,0.889450355,3370.34,120.335,1.735
72,-10.87,1.84375,1382,356.95,1.485
73,-4.95,1.789473684,1879,129.4,1.555
74,-6.21,1.321717172,3255.8,60.63,1.733
75,-9.42,1.907850467,2954.5,399.9,1.61
76,-5.47,1.440403313,1484,263.26,1.5805
77,-7.58,1.911028037,2870,399.9,1.61
78,-1.45,0.968613139,3047.6,130.85,1.74
79,-2.36,0.908680556,3255.8,106.89,1.76
80,-2.9,0.878280142,3377.48,120.335,1.735
81,-2.99,0.859375,3520,106.89,1.76
82,-7.44,1.870275404,2915,447.51,1.606
83,-2.09,0.954891304,3151.7,133.78,1.71
84,-3.11,0.927951389,2943.5,106.89,1.76
85,-4.81,0.877659574,3520,120.335,1.735
86,-5.6,1.504890895,1484,274.04,1.567
87,-10.11,1.821690467,1382,347.65,1.478
88,-8.57,1.78652536,1382,327.77,1.489
89,-4.37,1.405100671,3255.8,314,1.36
90,-5.81,1.754385965,1484,347.75,1.575
