number,Target,B_Tb,R_a/R_b,A_Tb,A_Tm
1,-12.37,2204,0.825,3520,931
2,-5.12,3210.2,1.672240803,1484,842
3,-1.52,2036.43,0.965793304,3047.6,889.8
4,-8.36,2204,0.850583333,2954.5,991.6
5,-6.31,2539.4,1.734693878,1879,727
6,-4.79,2092.6,0.854774306,2915,1003.1
7,-8.54,3196.25,1.12398374,2423,847.5
8,-3.91,2661.4,1.38989899,3464,918
9,-8.73,2606.05,1.81748171,1382,777
10,-5.89,2204,0.887333333,3305.5,898.9
11,-3.91,3174.25,1.5625,1484,842
12,-2.26,2036.9,0.947695035,2943.5,882.75
13,-2.1,2036.9,0.941134752,3047.6,889.8
14,-8.11,2376.1,1.779042457,2915,1003.1
15,-8.04,3941.6,1.847826087,1879,727
16,-7.29,3016.25,1.326699834,1484,842
17,-7.21,3707.9,1.827956989,1879,727
18,0.04,2349.4,0.990298507,3047.6,889.8
19,-4.14,3264.45,1.633986928,1484,842
20,-3.85,2148.3,0.837329932,2915,1003.1
21,-7.71,2519,1.874205607,2904.8,996.6
22,-2.15,2036.9,0.928014184,3255.8,903.9
23,-1.57,2137.345,0.974727419,3047.6,889.8
24,-4.96,2376.1,1.891237579,3255.8,903.9
25,-6.52,2487.5,1.637073982,2915,1003.1
26,-5.3,3177.15,1.63733115,1484,842
27,-5.48,2204,0.820583333,2915,1003.1
28,-3.62,2148.3,0.841836735,3520,931
29,-1.93,1999.57,0.963120889,3047.6,889.8
30,-4.61,2865.5,1.047348485,2423,847.5
31,-2.03,2036.9,0.934574468,3151.7,896.85
32,-1.43,2110.07,0.971449488,3047.6,889.8
33,-6.01,2519,1.956635514,3255.8,903.9
34,-10.27,2728.4,1.800152555,1382,777
35,-8.57,2357.8,1.772637264,2915,1003.1
36,-7.25,3287,1.950413223,1382,777
37,-4.67,2072,1.3085,3255.8,903.9
38,-6.31,2204,0.857333333,3266,910.4
39,-1.24,2256.75,0.985015078,3047.6,889.8
40,-2.07,1925.5,0.969259259,3255.8,903.9
41,-4.14,2519,1.852336449,3316.4,922.1
42,-7.94,2534.6,1.791951405,1382,777
43,-14,4409,1.888888889,1879,727
44,-7.92,2708,1.779042457,2915,1003.1
45,-3.85,2190.8,0.902413793,3255.8,903.9
46,-4.93,2975.75,1.071705426,2423,847.5
47,-10.82,2519,1.647102804,1224.8,821.3
48,-4.93,2755.25,1.024074074,2423,847.5
49,-3.13,1981.2,0.952028986,3038.08,938.12
50,-5.07,2519,1.798504673,1763,1050.8
51,-6.29,2204,0.835583333,2904.8,996.6
52,-1.31,2165.3,0.975735294,3047.6,889.8
53,-2.06,2092.6,0.921527778,3047.6,889.8
54,-5.64,3006.8,1.770833333,1879,727
55,-6.68,2519,1.700934579,3158.9,1454
56,-1.24,2224,1.053228963,2839.4,875.7
57,-3.96,2661.4,1.40983165,3255.8,903.9
58,-5.99,2519,1.759813084,3094.1,1265.9
59,-2.51,2148.3,0.896428571,3151.7,896.85
60,-8.73,2463.15,1.767128416,1382,777
61,-4.93,2361.5,1.135100865,2915,1003.1
62,-3.47,2519,1.804785047,1738.2,1032.24
63,-8.98,2677.5,1.9,1481.4,767
64,-4.44,2235.5,0.923511248,3255.8,903.9
65,-8.84,2596.9,1.814686659,1382,777
66,-3.82,3241.9,1.615508885,1484,842
67,-3.49,2092.6,0.853298611,3074,1021
68,-3.86,2519,1.802429907,1747.5,1039.2
69,-6.86,2566.3,1.763061074,1431.7,772
70,-5.95,3070.4,1.38121547,1484,842
71,-2.67,2036.9,0.889450355,3370.34,920.22
72,-10.87,2677.5,1.84375,1382,777
73,-4.95,3240.5,1.789473684,1879,727
74,-6.21,1973.8,1.321717172,3255.8,903.9
75,-9.42,2519,1.907850467,2954.5,991.6
76,-5.47,3124.55,1.440403313,1484,842
77,-7.58,2519,1.911028037,2870,895.2
78,-1.45,2073.25,0.968613139,3047.6,889.8
79,-2.36,2092.6,0.908680556,3255.8,903.9
80,-2.9,2036.9,0.878280142,3377.48,924.77
81,-2.99,2092.6,0.859375,3520,931
82,-7.44,2514.2,1.870275404,2915,1003.1
83,-2.09,1981.2,0.954891304,3151.7,896.85
84,-3.11,2092.6,0.927951389,2943.5,882.75
85,-4.81,2036.9,0.877659574,3520,931
86,-5.6,3178.7,1.504890895,1484,842
87,-10.11,2702.95,1.821690467,1382,777
88,-8.57,2516.3,1.78652536,1382,777
89,-4.37,2836,1.405100671,3255.8,903.9
90,-5.81,2903,1.754385965,1484,842
